timestep,wind_available_mw,curtailment_mw,power_optimized_mw,online_status,electricity_price,h2_produced_kg_h,h2_demand_kg_h,demand_slack_kg_h,demand_met,cost_eur,grid_import_mw,grid_export_mw,storage_level_kg,storage_charge_kg_h,storage_discharge_kg_h
3941,52.14330583733155,0.0,100.0,1,55.17638090205311,2108.6108610861083,2083.3333333333335,0.0,True,8158.197276037768,47.85669416266845,0.0,1034.3085726145464,25.277527752775086,0.0
3942,49.30155465901835,0.0,99.30155465901835,1,49.999999999999204,2093.8833667674194,2083.3333333333335,0.0,True,7465.077732950798,50.0,0.0,1044.7551751913709,10.55003343408589,0.0
3943,53.916374704443555,0.0,100.0,1,44.82361909794975,2108.6108610861083,2083.3333333333335,0.0,True,6547.99677669564,46.083625295556445,0.0,1069.928227426627,25.2775277527752,0.0
3944,56.62425468061375,0.0,100.0,1,40.00000000000098,2108.6108610861083,2083.3333333333335,0.0,True,5735.0298127755905,43.37574531938625,0.0,1095.0987623566593,25.277527752774972,0.0
3945,46.75329879635286,0.0,96.75329879635285,1,35.857864376270534,2040.1505668789914,2083.3333333333335,0.0,False,5262.259885009926,49.99999999999999,0.0,1051.8064860260815,0.0,43.18276645434207
3946,36.11102133334314,0.0,86.11102133334313,1,32.67949192431276,1815.7463484270493,2083.3333333333335,0.0,False,4448.039022472948,49.99999999999999,0.0,784.1143204711948,0.0,267.5869849062842
3947,40.060281952009156,0.0,90.06028195200915,1,30.6814834742185,1899.0208867648373,2083.3333333333335,0.0,False,4297.257226104952,49.99999999999999,0.0,599.7234624706515,0.0,184.31244656849617
3948,43.71478169093312,0.0,93.71478169093312,1,30.0,1976.0800651781517,2083.3333333333335,0.0,False,4311.443450727994,50.0,0.0,492.4102219692227,0.0,107.25326815518179
3949,51.88105851789263,0.0,100.0,1,30.68148347421827,2108.6108610861083,2083.3333333333335,0.0,True,4544.50885530198,48.11894148210737,0.0,517.6385086998009,25.277527752775086,0.0
3950,71.72135793293988,0.0,100.0,1,32.67949192431231,2108.6108610861083,2083.3333333333335,0.0,True,4192.0808474922405,28.27864206706012,0.0,542.8642726017061,25.2775277527752,0.0
3951,92.56591559711022,0.0,100.0,1,35.85786437626668,2108.6108610861083,2083.3333333333335,0.0,True,3852.3568279072097,7.434084402889781,0.0,568.0875139272209,25.277527752774972,0.0
